epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.4583333432674408,0.6845744848251343
0,29,,,0.5182291865348816,0.6909885406494141,,
1,59,,,,,0.8291666507720947,0.6392208933830261
1,59,,,0.6546875238418579,0.6645823121070862,,
2,89,,,,,0.8374999761581421,0.5810980200767517
2,89,,,0.7744791507720947,0.6239431500434875,,
3,119,,,,,0.8333333134651184,0.5141280293464661
3,119,,,0.7635416388511658,0.5700393319129944,,
4,149,,,,,0.8333333134651184,0.4582347571849823
4,149,,,0.7802083492279053,0.5165374279022217,,
5,179,,,,,0.8333333134651184,0.4290243685245514
5,179,,,0.7645833492279053,0.5003542900085449,,
6,209,,,,,0.8374999761581421,0.4011939465999603
6,209,,,0.7947916388511658,0.4595251679420471,,
7,239,,,,,0.8458333611488342,0.3935798406600952
7,239,,,0.7994791865348816,0.4417869448661804,,
8,269,,,,,0.8541666865348816,0.3687423765659332
8,269,,,0.8088541626930237,0.4279214143753052,,
9,299,,,,,0.8541666865348816,0.36035072803497314
9,299,,,0.8135416507720947,0.41955119371414185,,
10,329,,,,,0.8541666865348816,0.36103546619415283
10,329,,,0.8119791746139526,0.42395442724227905,,
11,359,,,,,0.862500011920929,0.34739771485328674
11,359,,,0.8109375238418579,0.4078655540943146,,
12,389,,,,,0.8791666626930237,0.33028680086135864
12,389,,,0.828125,0.395637184381485,,
13,419,,,,,0.8374999761581421,0.36125463247299194
13,419,,,0.831250011920929,0.39162778854370117,,
14,449,,,,,0.8791666626930237,0.31747519969940186
14,449,,,0.824999988079071,0.3853128254413605,,
15,479,,,,,0.8958333134651184,0.31076493859291077
15,479,,,0.831250011920929,0.37670964002609253,,
16,509,,,,,0.8958333134651184,0.3057129979133606
16,509,,,0.8354166746139526,0.3739040493965149,,
17,539,,,,,0.8916666507720947,0.30260804295539856
17,539,,,0.848437488079071,0.3715828061103821,,
18,569,,,,,0.9041666388511658,0.29735037684440613
18,569,,,0.8385416865348816,0.36706361174583435,,
19,599,,,,,0.8999999761581421,0.2937087416648865
19,599,,,0.839062511920929,0.36353933811187744,,
20,629,,,,,0.8541666865348816,0.32694879174232483
20,629,,,0.840624988079071,0.3638818562030792,,
21,659,,,,,0.9041666388511658,0.2890664339065552
21,659,,,0.8479166626930237,0.3583967089653015,,
22,689,,,,,0.8333333134651184,0.358648419380188
22,689,,,0.8453124761581421,0.36202457547187805,,
23,719,,,,,0.8791666626930237,0.29267483949661255
23,719,,,0.8421875238418579,0.3557277023792267,,
24,749,,,,,0.9083333611488342,0.27870461344718933
24,749,,,0.8500000238418579,0.34379056096076965,,
25,779,,,,,0.9041666388511658,0.275575190782547
25,779,,,0.859375,0.33811503648757935,,
26,809,,,,,0.9083333611488342,0.2731691300868988
26,809,,,0.8583333492279053,0.34277594089508057,,
27,839,,,,,0.9041666388511658,0.2719718813896179
27,839,,,0.8651041388511658,0.3337821662425995,,
28,869,,,,,0.8958333134651184,0.2731100022792816
28,869,,,0.856249988079071,0.33592331409454346,,
29,899,,,,,0.9125000238418579,0.2657066881656647
29,899,,,0.864062488079071,0.33326342701911926,,
30,929,,,,,0.8833333253860474,0.27965739369392395
30,929,,,0.8614583611488342,0.32573896646499634,,
31,959,,,,,0.9083333611488342,0.2697046101093292
31,959,,,0.856249988079071,0.3357776999473572,,
32,989,,,,,0.9166666865348816,0.2581336796283722
32,989,,,0.8588541746139526,0.32770034670829773,,
33,1019,,,,,0.8833333253860474,0.286980539560318
33,1019,,,0.8572916388511658,0.33480989933013916,,
34,1049,,,,,0.9041666388511658,0.25791671872138977
34,1049,,,0.871874988079071,0.31874004006385803,,
35,1079,,,,,0.9125000238418579,0.25301265716552734
35,1079,,,0.8645833134651184,0.3161211609840393,,
36,1109,,,,,0.875,0.2968748211860657
36,1109,,,0.8661458492279053,0.318829208612442,,
37,1139,,,,,0.9125000238418579,0.24989841878414154
37,1139,,,0.8682291507720947,0.3202611804008484,,
38,1169,,,,,0.9125000238418579,0.25881317257881165
38,1169,,,0.8619791865348816,0.3227258026599884,,
39,1199,,,,,0.9208333492279053,0.25221216678619385
39,1199,,,0.859375,0.3267480731010437,,
40,1229,,,,,0.9125000238418579,0.245265394449234
40,1229,,,0.8776041865348816,0.3065502345561981,,
41,1259,,,,,0.9083333611488342,0.2435450702905655
41,1259,,,0.862500011920929,0.3110272288322449,,
42,1289,,,,,0.9166666865348816,0.2440502941608429
42,1289,,,0.8708333373069763,0.3078218698501587,,
43,1319,,,,,0.8916666507720947,0.2581954598426819
43,1319,,,0.8729166388511658,0.3109854459762573,,
44,1349,,,,,0.9166666865348816,0.248059943318367
44,1349,,,0.8682291507720947,0.31330057978630066,,
45,1379,,,,,0.9125000238418579,0.23972517251968384
45,1379,,,0.8744791746139526,0.3109707832336426,,
46,1409,,,,,0.9125000238418579,0.23692010343074799
46,1409,,,0.8729166388511658,0.3082612454891205,,
47,1439,,,,,0.9125000238418579,0.24127726256847382
47,1439,,,0.875,0.303045392036438,,
48,1469,,,,,0.8999999761581421,0.2461255043745041
48,1469,,,0.875,0.30752307176589966,,
49,1499,,,,,0.9208333492279053,0.2375340312719345
49,1499,,,0.8708333373069763,0.3092536926269531,,
50,1529,,,,,0.9166666865348816,0.23453304171562195
50,1529,,,0.871874988079071,0.30889537930488586,,
51,1559,,,,,0.9125000238418579,0.23715771734714508
51,1559,,,0.871874988079071,0.3070990741252899,,
52,1589,,,,,0.9166666865348816,0.23166385293006897
