epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.7791666388511658,0.47514158487319946
0,29,,,0.573437511920929,0.7609378695487976,,
1,59,,,,,0.8458333611488342,0.43335863947868347
1,59,,,0.7562500238418579,0.5094126462936401,,
2,89,,,,,0.8416666388511658,0.35823649168014526
2,89,,,0.800000011920929,0.4392445683479309,,
3,119,,,,,0.8333333134651184,0.3560660183429718
3,119,,,0.8203125,0.42040205001831055,,
4,149,,,,,0.8916666507720947,0.2672520875930786
4,149,,,0.8401041626930237,0.3755173683166504,,
5,179,,,,,0.8666666746139526,0.3027958273887634
5,179,,,0.8536458611488342,0.34904399514198303,,
6,209,,,,,0.8958333134651184,0.2739453911781311
6,209,,,0.8510416746139526,0.34872105717658997,,
7,239,,,,,0.8958333134651184,0.28883248567581177
7,239,,,0.8666666746139526,0.3423728346824646,,
8,269,,,,,0.8916666507720947,0.2541967034339905
8,269,,,0.8614583611488342,0.3338761627674103,,
9,299,,,,,0.9291666746139526,0.21621403098106384
9,299,,,0.8713541626930237,0.31831520795822144,,
10,329,,,,,0.9083333611488342,0.21803441643714905
10,329,,,0.8864583373069763,0.28931331634521484,,
11,359,,,,,0.9208333492279053,0.22425177693367004
11,359,,,0.8833333253860474,0.29016563296318054,,
12,389,,,,,0.925000011920929,0.18648996949195862
12,389,,,0.8869791626930237,0.2918033003807068,,
13,419,,,,,0.9083333611488342,0.198640376329422
13,419,,,0.9020833373069763,0.25330451130867004,,
14,449,,,,,0.9333333373069763,0.1988627165555954
14,449,,,0.8895833492279053,0.2607487142086029,,
15,479,,,,,0.949999988079071,0.17219120264053345
15,479,,,0.8932291865348816,0.2700759172439575,,
16,509,,,,,0.925000011920929,0.17138321697711945
16,509,,,0.893750011920929,0.2650463879108429,,
17,539,,,,,0.925000011920929,0.1724712997674942
17,539,,,0.903124988079071,0.2617959678173065,,
18,569,,,,,0.9375,0.16205979883670807
18,569,,,0.9005208611488342,0.24798132479190826,,
19,599,,,,,0.9291666746139526,0.1723819226026535
19,599,,,0.9114583134651184,0.242959663271904,,
20,629,,,,,0.9416666626930237,0.15185117721557617
20,629,,,0.9119791388511658,0.23300383985042572,,
21,659,,,,,0.9208333492279053,0.16961129009723663
21,659,,,0.9067708253860474,0.2287645787000656,,
22,689,,,,,0.949999988079071,0.13512547314167023
22,689,,,0.9125000238418579,0.2222161740064621,,
23,719,,,,,0.9333333373069763,0.16234026849269867
23,719,,,0.9161458611488342,0.22464331984519958,,
24,749,,,,,0.9541666507720947,0.13761045038700104
24,749,,,0.9119791388511658,0.2258392721414566,,
25,779,,,,,0.9416666626930237,0.14379525184631348
25,779,,,0.9104166626930237,0.223595529794693,,
26,809,,,,,0.9416666626930237,0.15565356612205505
26,809,,,0.9130208492279053,0.22829709947109222,,
27,839,,,,,0.949999988079071,0.13994064927101135
27,839,,,0.9182291626930237,0.20965537428855896,,
28,840,0.9083333611488342,0.18342828750610352,,,,
