epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,49,0.5625,0.6705088019371033,,
0,59,,,0.4625000059604645,0.7050264477729797
1,99,0.65625,0.6734977960586548,,
1,119,,,0.612500011920929,0.6733171939849854
2,149,0.65625,0.6711783409118652,,
2,179,,,0.6208333373069763,0.6637469530105591
3,199,0.5625,0.6735100150108337,,
3,239,,,0.637499988079071,0.6523934602737427
4,249,0.625,0.6536008715629578,,
4,299,0.625,0.6566917300224304,,
4,299,,,0.7749999761581421,0.6307216882705688
5,349,0.75,0.608367919921875,,
5,359,,,0.762499988079071,0.6163803339004517
6,399,0.75,0.6293113231658936,,
6,419,,,0.7708333134651184,0.6089909672737122
7,449,0.6875,0.6146982908248901,,
7,479,,,0.7791666388511658,0.5984830856323242
8,499,0.71875,0.5872923135757446,,
8,539,,,0.7333333492279053,0.5951152443885803
9,549,0.8125,0.5805989503860474,,
9,599,0.6875,0.5998027324676514,,
9,599,,,0.7708333134651184,0.582595944404602
10,649,0.71875,0.6491068601608276,,
10,659,,,0.8208333253860474,0.5685905814170837
11,699,0.75,0.6055691242218018,,
11,719,,,0.7916666865348816,0.5621225833892822
12,749,0.65625,0.5872555375099182,,
12,779,,,0.8166666626930237,0.5520151853561401
13,799,0.8125,0.5700207948684692,,
13,839,,,0.7666666507720947,0.5544728636741638
14,849,0.8125,0.5905483365058899,,
14,899,0.71875,0.5347256064414978,,
14,899,,,0.8291666507720947,0.5392009019851685
15,949,0.75,0.5779131650924683,,
15,959,,,0.800000011920929,0.5360502004623413
16,999,0.90625,0.47716522216796875,,
16,1019,,,0.824999988079071,0.5251641273498535
17,1049,0.6875,0.5989012718200684,,
17,1079,,,0.824999988079071,0.5198415517807007
18,1099,0.90625,0.47704458236694336,,
18,1139,,,0.8333333134651184,0.5140665173530579
19,1149,0.71875,0.6069883704185486,,
19,1199,0.8125,0.5523673295974731,,
19,1199,,,0.824999988079071,0.5122328996658325
20,1249,0.84375,0.5141922235488892,,
20,1259,,,0.8291666507720947,0.5060570240020752
21,1299,0.75,0.5466300845146179,,
21,1319,,,0.8333333134651184,0.49926549196243286
22,1349,0.71875,0.516499400138855,,
