epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.800000011920929,0.6120077967643738
1,49,,,0.6875,0.6023343205451965,,
1,59,,,,,0.7708333134651184,0.5608876943588257
2,89,,,,,0.7583333253860474,0.5416747331619263
3,99,,,0.765625,0.5188313722610474,,
3,119,,,,,0.8416666388511658,0.49308523535728455
4,149,,,0.8125,0.5092447400093079,,
4,149,,,,,0.8374999761581421,0.4686657786369324
5,179,,,,,0.7833333611488342,0.4726543426513672
6,199,,,0.78125,0.5232137441635132,,
6,209,,,,,0.7916666865348816,0.44362640380859375
7,239,,,,,0.8333333134651184,0.40477022528648376
8,249,,,0.71875,0.5119528770446777,,
8,269,,,,,0.7666666507720947,0.4561616778373718
9,299,,,0.71875,0.49979907274246216,,
9,299,,,,,0.8541666865348816,0.3868289887905121
10,329,,,,,0.8541666865348816,0.38093745708465576
11,349,,,0.828125,0.4247018098831177,,
11,359,,,,,0.8541666865348816,0.37606436014175415
12,389,,,,,0.8583333492279053,0.3703557848930359
13,399,,,0.71875,0.5177819728851318,,
13,419,,,,,0.8666666746139526,0.37408915162086487
14,449,,,0.78125,0.4502018094062805,,
14,449,,,,,0.8666666746139526,0.3586483299732208
15,479,,,,,0.8666666746139526,0.36057397723197937
16,499,,,0.8125,0.37921959161758423,,
16,509,,,,,0.8541666865348816,0.3794488310813904
17,539,,,,,0.8708333373069763,0.35889384150505066
18,549,,,0.875,0.3796476423740387,,
18,569,,,,,0.8500000238418579,0.3665677309036255
19,599,,,0.875,0.3762783706188202,,
19,599,,,,,0.875,0.34228718280792236
20,629,,,,,0.875,0.3431462049484253
21,649,,,0.90625,0.3277439475059509,,
21,659,,,,,0.8791666626930237,0.33728301525115967
22,689,,,,,0.8500000238418579,0.3647010922431946
23,699,,,0.8125,0.4544628858566284,,
23,719,,,,,0.8666666746139526,0.3502940535545349
24,749,,,0.84375,0.4256404936313629,,
24,749,,,,,0.8791666626930237,0.3399229645729065
25,779,,,,,0.887499988079071,0.336691677570343
26,799,,,0.859375,0.3334540128707886,,
26,809,,,,,0.887499988079071,0.3295237421989441
27,839,,,,,0.8541666865348816,0.3531630337238312
28,849,,,0.75,0.43601423501968384,,
28,869,,,,,0.8666666746139526,0.3457547128200531
29,899,,,0.828125,0.39496031403541565,,
29,899,,,,,0.8708333373069763,0.3477051556110382
30,929,,,,,0.887499988079071,0.32363325357437134
31,949,,,0.796875,0.5051699876785278,,
31,959,,,,,0.8708333373069763,0.3368094265460968
32,989,,,,,0.8958333134651184,0.31780821084976196
33,999,,,0.859375,0.3247268497943878,,
33,1019,,,,,0.7333333492279053,0.5284488797187805
34,1049,,,0.875,0.3260248601436615,,
34,1049,,,,,0.8833333253860474,0.3199068605899811
35,1079,,,,,0.8791666626930237,0.32406923174858093
36,1099,,,0.875,0.28594887256622314,,
36,1109,,,,,0.8999999761581421,0.31400126218795776
37,1139,,,,,0.8833333253860474,0.32133567333221436
38,1149,,,0.78125,0.43261799216270447,,
38,1169,,,,,0.9083333611488342,0.30939751863479614
39,1199,,,0.84375,0.32812145352363586,,
39,1199,,,,,0.9041666388511658,0.30885228514671326
40,1229,,,,,0.9083333611488342,0.30886587500572205
41,1249,,,0.8125,0.41507217288017273,,
41,1259,,,,,0.9083333611488342,0.30760592222213745
42,1289,,,,,0.875,0.3357768952846527
43,1299,,,0.84375,0.33654165267944336,,
43,1319,,,,,0.9083333611488342,0.30559852719306946
44,1349,,,0.859375,0.32190507650375366,,
44,1349,,,,,0.8916666507720947,0.30463773012161255
45,1379,,,,,0.862500011920929,0.3406214118003845
46,1399,,,0.828125,0.4097663462162018,,
46,1409,,,,,0.8916666507720947,0.31205427646636963
47,1439,,,,,0.887499988079071,0.3126407563686371
48,1449,,,0.8125,0.4290691614151001,,
48,1469,,,,,0.8958333134651184,0.3051983416080475
49,1499,,,0.84375,0.35308903455734253,,
49,1499,,,,,0.887499988079071,0.3046789765357971
50,1500,0.8374999761581421,0.39697524905204773,,,,
